EN	HFO	DO	LO	R	D
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	868.88	0.00	0.00
858.65	49984.80	11252.80	42.78	14.81	45.59
1658.19	100737.80	8708.40	141.08	16.02	84.60
1774.99	105871.30	6415.50	768.06	16.69	89.50
1779.89	106134.50	7194.30	192.57	16.62	92.55
1826.06	108978.20	6886.30	499.93	16.64	92.12
1800.56	105148.00	8189.70	571.90	16.79	91.22
1810.32	106204.00	8181.60	155.06	16.73	91.44
1828.27	110781.50	4775.90	310.48	16.71	92.13
1818.97	109460.40	4777.60	0.00	16.81	90.92
1811.37	108616.20	5861.10	0.00	16.70	88.76
1805.13	105713.40	7316.80	104.82	16.87	89.17
1832.50	104089.60	10585.80	168.00	16.87	91.08
1826.11	105671.30	9329.00	72.11	16.78	92.43
1796.96	107003.80	6625.60	392.80	16.72	91.34
1800.78	105579.20	8709.80	267.45	16.66	90.92
1817.82	106577.20	8145.20	974.57	16.75	91.26
1812.00	109337.70	5297.60	135.70	16.70	90.13
1795.55	110878.90	3722.10	676.29	16.55	89.31
1792.69	109609.80	4195.20	1254.88	16.64	89.44
1798.56	110592.60	4327.10	636.61	16.54	90.49
1801.94	110210.00	4794.90	62.04	16.55	90.37
1617.30	97982.80	4609.30	571.65	16.67	90.26
1773.68	105960.00	7061.40	417.52	16.58	87.67
1812.77	107355.30	10554.60	65.78	16.25	90.82
1817.25	105071.50	10026.80	138.86	16.68	91.31
1830.65	108369.40	9453.10	364.02	16.42	92.45
1823.58	110563.90	6626.10	870.34	16.44	91.81
1821.82	111413.40	4529.70	768.70	16.60	91.51
1820.70	112691.00	4027.00	291.51	16.48	91.39
1820.98	108913.90	7706.80	519.78	16.49	91.42
1824.47	109875.80	4093.60	107.32	16.91	91.48
1818.88	111220.90	8869.10	312.45	16.00	91.52
1807.38	109016.50	7351.30	359.80	16.41	90.81
1807.03	110234.90	5667.60	155.06	16.47	90.51
